country,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
Afghanistan,2020-05-23,nowcast,1.1,1,1.2,1.1,1.1,0.01
Afghanistan,2020-05-24,nowcast,1.1,1,1.2,1.1,1.1,0.01
Afghanistan,2020-05-25,nowcast,1.1,1,1.2,1.1,1.1,0.01
Afghanistan,2020-05-26,nowcast,1.1,1,1.2,1.1,1.1,0
Afghanistan,2020-05-27,nowcast,1.1,1,1.2,1.1,1.1,0
Afghanistan,2020-05-28,nowcast,1.1,1,1.2,1.1,1.1,0
Afghanistan,2020-05-29,forecast,1.1,1,1.2,1.1,1.1,0.02
Afghanistan,2020-05-30,forecast,1.1,1,1.2,1,1.1,0.04
Afghanistan,2020-05-31,forecast,1.1,1,1.2,1.1,1.1,0.06
Afghanistan,2020-06-01,forecast,1.1,1,1.2,1.1,1.1,0.08
Afghanistan,2020-06-02,forecast,1.1,1,1.2,1,1.1,0.1
Afghanistan,2020-06-03,forecast,1.1,1,1.2,1,1.1,0.11
Afghanistan,2020-06-04,forecast,1.1,1,1.2,1,1.1,0.15
Afghanistan,2020-06-05,forecast,1.1,0.9,1.2,1,1.2,0.15
Afghanistan,2020-06-06,forecast,1.1,0.9,1.2,1,1.1,0.17
Afghanistan,2020-06-07,forecast,1.1,0.9,1.2,1,1.1,0.19
Afghanistan,2020-06-08,forecast,1.1,0.9,1.3,1,1.1,0.2
Afghanistan,2020-06-09,forecast,1.1,0.9,1.3,1,1.2,0.22
Afghanistan,2020-06-10,forecast,1.1,0.9,1.3,1,1.1,0.24
Afghanistan,2020-06-11,forecast,1.1,0.9,1.3,1,1.1,0.25
Algeria,2020-03-05,nowcast,1.6,0.8,2.5,1.3,1.9,0.05
Algeria,2020-03-06,nowcast,1.7,1,2.5,1.3,1.9,0.04
Algeria,2020-03-07,nowcast,1.7,1,2.5,1.3,1.9,0.03
Algeria,2020-03-08,nowcast,1.7,1.2,2.5,1.4,1.9,0.02
Algeria,2020-03-09,nowcast,1.7,1.2,2.5,1.5,2,0.01
Algeria,2020-03-10,nowcast,1.7,1.2,2.4,1.5,1.9,0.01
Algeria,2020-03-11,nowcast,1.7,1.2,2.3,1.5,1.9,0.01
Algeria,2020-03-12,nowcast,1.7,1.2,2.3,1.5,1.9,0.01
Algeria,2020-03-13,nowcast,1.7,1.2,2.2,1.5,1.8,0
Algeria,2020-03-14,nowcast,1.7,1.2,2.1,1.4,1.8,0
Algeria,2020-03-15,nowcast,1.6,1.3,2.1,1.4,1.8,0
Algeria,2020-03-16,nowcast,1.6,1.2,2,1.4,1.7,0
Algeria,2020-03-17,nowcast,1.6,1.2,2,1.4,1.7,0
Algeria,2020-03-18,nowcast,1.5,1.2,1.9,1.4,1.7,0
Algeria,2020-03-19,nowcast,1.5,1.2,1.8,1.4,1.6,0
Algeria,2020-03-20,nowcast,1.5,1.2,1.7,1.4,1.6,0
Algeria,2020-03-21,nowcast,1.4,1.1,1.7,1.3,1.5,0
Algeria,2020-03-22,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Algeria,2020-03-23,nowcast,1.4,1.1,1.6,1.3,1.5,0
Algeria,2020-03-24,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Algeria,2020-03-25,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Algeria,2020-03-26,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Algeria,2020-03-27,nowcast,1.3,1.1,1.5,1.2,1.4,0.01
Algeria,2020-03-28,nowcast,1.2,1,1.4,1.1,1.3,0.03
Algeria,2020-03-29,nowcast,1.2,1,1.4,1.1,1.3,0.06
Algeria,2020-03-30,nowcast,1.1,0.9,1.3,1.1,1.2,0.13
Algeria,2020-03-31,nowcast,1.1,0.9,1.2,1,1.1,0.24
Algeria,2020-04-01,nowcast,1,0.8,1.2,1,1.1,0.42
Algeria,2020-04-02,nowcast,1,0.8,1.1,0.9,1.1,0.54
Algeria,2020-04-03,nowcast,1,0.8,1.1,0.9,1.1,0.59
Algeria,2020-04-04,nowcast,1,0.8,1.1,0.9,1,0.63
Algeria,2020-04-05,nowcast,1,0.8,1.1,0.9,1,0.6
Algeria,2020-04-06,nowcast,1,0.9,1.1,0.9,1,0.55
Algeria,2020-04-07,nowcast,1,0.9,1.1,0.9,1,0.48
Algeria,2020-04-08,nowcast,1,0.9,1.2,1,1.1,0.39
Algeria,2020-04-09,nowcast,1,0.9,1.2,1,1.1,0.28
Algeria,2020-04-10,nowcast,1.1,0.9,1.2,1,1.1,0.21
Algeria,2020-04-11,nowcast,1.1,0.9,1.2,1,1.1,0.16
Algeria,2020-04-12,nowcast,1.1,1,1.2,1,1.1,0.12
Algeria,2020-04-13,nowcast,1.1,1,1.2,1,1.1,0.09
Algeria,2020-04-14,nowcast,1.1,1,1.2,1,1.1,0.09
Algeria,2020-04-15,nowcast,1.1,1,1.2,1.1,1.2,0.09
Algeria,2020-04-16,nowcast,1.1,1,1.2,1.1,1.1,0.1
Algeria,2020-04-17,nowcast,1.1,1,1.2,1,1.1,0.09
Algeria,2020-04-18,nowcast,1.1,1,1.2,1,1.1,0.09
Algeria,2020-04-19,nowcast,1.1,1,1.2,1.1,1.2,0.07
Algeria,2020-04-20,nowcast,1.1,1,1.3,1.1,1.2,0.05
Algeria,2020-04-21,nowcast,1.1,1,1.3,1.1,1.2,0.04
Algeria,2020-04-22,nowcast,1.1,1,1.3,1.1,1.2,0.02
Algeria,2020-04-23,nowcast,1.1,1,1.3,1.1,1.2,0.02
Algeria,2020-04-24,nowcast,1.1,1,1.3,1.1,1.2,0.03
Algeria,2020-04-25,nowcast,1.1,1,1.3,1.1,1.2,0.04
Algeria,2020-04-26,nowcast,1.1,1,1.2,1.1,1.2,0.04
Algeria,2020-04-27,nowcast,1.1,1,1.2,1.1,1.2,0.06
Algeria,2020-04-28,nowcast,1.1,1,1.2,1.1,1.2,0.07
Algeria,2020-04-29,nowcast,1.1,1,1.2,1,1.1,0.1
Algeria,2020-04-30,nowcast,1.1,1,1.2,1,1.1,0.12
Algeria,2020-05-01,nowcast,1.1,1,1.2,1,1.1,0.14
Algeria,2020-05-02,nowcast,1.1,1,1.2,1,1.1,0.15
Algeria,2020-05-03,nowcast,1.1,0.9,1.1,1,1.1,0.19
Algeria,2020-05-04,nowcast,1,0.9,1.1,1,1.1,0.24
Algeria,2020-05-05,nowcast,1,0.9,1.1,1,1.1,0.26
Algeria,2020-05-06,nowcast,1,0.9,1.1,1,1.1,0.29
Algeria,2020-05-07,nowcast,1,0.9,1.1,1,1.1,0.32
Algeria,2020-05-08,nowcast,1,0.9,1.1,1,1.1,0.33
Algeria,2020-05-09,nowcast,1,0.9,1.1,1,1.1,0.38
Algeria,2020-05-10,nowcast,1,0.9,1.1,1,1,0.39
Algeria,2020-05-11,nowcast,1,0.9,1.1,1,1,0.42
Algeria,2020-05-12,nowcast,1,0.9,1.1,1,1,0.46
Algeria,2020-05-13,nowcast,1,0.9,1.1,1,1,0.52
Algeria,2020-05-14,nowcast,1,0.9,1.1,1,1,0.57
Algeria,2020-05-15,nowcast,1,0.9,1.1,1,1,0.6
Algeria,2020-05-16,nowcast,1,0.9,1.1,1,1,0.65
Algeria,2020-05-17,nowcast,1,0.9,1.1,0.9,1,0.71
Algeria,2020-05-18,nowcast,1,0.9,1.1,0.9,1,0.74
Algeria,2020-05-19,nowcast,1,0.9,1.1,0.9,1,0.78
Algeria,2020-05-20,nowcast,0.9,0.9,1,0.9,1,0.83
Algeria,2020-05-21,nowcast,0.9,0.8,1,0.9,1,0.88
Algeria,2020-05-22,nowcast,0.9,0.8,1,0.9,1,0.93
Algeria,2020-05-23,nowcast,0.9,0.8,1,0.9,1,0.95
Algeria,2020-05-24,nowcast,0.9,0.8,1,0.9,0.9,0.97
Algeria,2020-05-25,nowcast,0.9,0.8,1,0.9,0.9,0.97
Algeria,2020-05-26,nowcast,0.9,0.8,1,0.8,0.9,0.97
Algeria,2020-05-27,nowcast,0.9,0.8,1,0.8,0.9,0.96
Algeria,2020-05-28,nowcast,0.9,0.8,1,0.8,0.9,0.93
Algeria,2020-05-29,forecast,0.9,0.8,1,0.8,0.9,0.92
Algeria,2020-05-30,forecast,0.9,0.7,1,0.8,0.9,0.89
Algeria,2020-05-31,forecast,0.9,0.7,1,0.8,1,0.88
Algeria,2020-06-01,forecast,0.9,0.7,1,0.8,1,0.87
Algeria,2020-06-02,forecast,0.9,0.7,1.1,0.8,0.9,0.87
Algeria,2020-06-03,forecast,0.9,0.7,1.1,0.8,1,0.86
Algeria,2020-06-04,forecast,0.9,0.7,1.1,0.8,1,0.85
Algeria,2020-06-05,forecast,0.9,0.7,1.1,0.8,0.9,0.83
Algeria,2020-06-06,forecast,0.9,0.6,1.1,0.8,0.9,0.83
Algeria,2020-06-07,forecast,0.9,0.6,1.1,0.8,1,0.83
Algeria,2020-06-08,forecast,0.9,0.6,1.1,0.8,1,0.82
Algeria,2020-06-09,forecast,0.9,0.6,1.1,0.8,1,0.82
Algeria,2020-06-10,forecast,0.9,0.6,1.1,0.8,1,0.81
Algeria,2020-06-11,forecast,0.9,0.6,1.1,0.8,1,0.8
Andorra,2020-03-17,nowcast,1.4,1,1.8,1.2,1.5,0.05
Andorra,2020-03-18,nowcast,1.3,1,1.7,1.2,1.5,0.07
Andorra,2020-03-19,nowcast,1.3,0.9,1.6,1.1,1.4,0.1
Andorra,2020-03-20,nowcast,1.2,0.9,1.6,1.1,1.4,0.11
Andorra,2020-03-21,nowcast,1.2,0.9,1.5,1.1,1.3,0.13
Andorra,2020-03-22,nowcast,1.1,0.8,1.4,1,1.3,0.2
Andorra,2020-03-23,nowcast,1.1,0.8,1.4,1,1.2,0.28
Andorra,2020-03-24,nowcast,1,0.7,1.3,1,1.2,0.38
Andorra,2020-03-25,nowcast,1,0.7,1.3,0.9,1.1,0.49
Andorra,2020-03-26,nowcast,1,0.7,1.2,0.9,1.1,0.61
Andorra,2020-03-27,nowcast,0.9,0.7,1.1,0.8,1,0.71
Andorra,2020-03-28,nowcast,0.9,0.7,1.1,0.8,1,0.76
Andorra,2020-03-29,nowcast,0.9,0.7,1.1,0.8,1,0.79
Andorra,2020-03-30,nowcast,0.9,0.7,1.1,0.8,1,0.8
Andorra,2020-03-31,nowcast,0.9,0.7,1.1,0.8,1,0.8
Andorra,2020-04-01,nowcast,0.9,0.7,1.2,0.8,1,0.79
Andorra,2020-04-02,nowcast,0.9,0.6,1.1,0.8,1,0.83
Andorra,2020-04-03,nowcast,0.8,0.6,1.1,0.7,0.9,0.86
Andorra,2020-04-04,nowcast,0.8,0.6,1.1,0.7,0.9,0.9
Andorra,2020-04-05,nowcast,0.8,0.6,1,0.7,0.9,0.92
Andorra,2020-04-06,nowcast,0.8,0.5,1,0.7,0.9,0.92
Andorra,2020-04-07,nowcast,0.8,0.5,1,0.7,0.9,0.94
Andorra,2020-04-08,nowcast,0.7,0.5,1,0.7,0.9,0.94
Andorra,2020-04-09,nowcast,0.7,0.4,1,0.6,0.8,0.95
Andorra,2020-04-10,nowcast,0.7,0.4,1,0.6,0.8,0.95
Andorra,2020-04-11,nowcast,0.7,0.4,1,0.6,0.8,0.96
Andorra,2020-04-12,nowcast,0.7,0.4,1,0.6,0.8,0.96
Andorra,2020-04-13,nowcast,0.7,0.3,0.9,0.5,0.7,0.95
Andorra,2020-04-14,nowcast,0.6,0.3,0.9,0.5,0.7,0.96
Andorra,2020-04-15,nowcast,0.6,0.3,0.9,0.5,0.7,0.95
Andorra,2020-04-16,nowcast,0.6,0.3,0.9,0.5,0.7,0.96
Andorra,2020-04-17,nowcast,0.6,0.2,0.9,0.4,0.7,0.96
Andorra,2020-04-18,nowcast,0.6,0.2,0.9,0.4,0.7,0.95
Andorra,2020-04-19,nowcast,0.6,0.2,1,0.4,0.7,0.93
Andorra,2020-04-20,nowcast,0.6,0.2,1,0.4,0.7,0.92
Andorra,2020-04-21,nowcast,0.6,0.2,1.1,0.4,0.7,0.9
Andorra,2020-04-22,nowcast,0.6,0.2,1.1,0.4,0.7,0.9
Andorra,2020-04-23,nowcast,0.6,0.1,1.1,0.4,0.7,0.88
Andorra,2020-04-24,nowcast,0.6,0.1,1.1,0.4,0.7,0.89
Andorra,2020-04-25,nowcast,0.6,0.1,1.1,0.4,0.7,0.89
Andorra,2020-04-26,nowcast,0.6,0.1,1.2,0.3,0.7,0.86
Andorra,2020-04-27,nowcast,0.6,0.1,1.2,0.3,0.7,0.84
Andorra,2020-04-28,nowcast,0.6,0.1,1.3,0.3,0.8,0.81
Andorra,2020-04-29,nowcast,0.6,0,1.4,0.3,0.8,0.78
Andorra,2020-04-30,nowcast,0.7,0,1.5,0.3,0.8,0.74
Andorra,2020-05-01,nowcast,0.7,0.1,1.6,0.3,0.9,0.7
Andorra,2020-05-02,nowcast,0.8,0.1,1.7,0.3,0.9,0.67
Andorra,2020-05-03,nowcast,0.8,0.1,1.8,0.4,1,0.64
Andorra,2020-05-04,nowcast,0.8,0,1.9,0.4,1,0.62
Andorra,2020-05-05,nowcast,0.9,0.1,1.9,0.4,1,0.58
Andorra,2020-05-06,nowcast,0.9,0,2,0.4,1.1,0.54
Andorra,2020-05-07,nowcast,1,0.1,2.2,0.4,1.2,0.52
Andorra,2020-05-08,nowcast,1,0.1,2.1,0.5,1.2,0.51
Andorra,2020-05-09,nowcast,1,0.1,2.1,0.4,1.2,0.52
Andorra,2020-05-10,nowcast,1,0.1,2.1,0.5,1.2,0.52
Andorra,2020-05-11,nowcast,1,0.1,2.1,0.4,1.2,0.51
Andorra,2020-05-12,nowcast,1,0.1,2.2,0.4,1.2,0.5
Andorra,2020-05-13,nowcast,1.1,0.1,2.3,0.5,1.4,0.43
Andorra,2020-05-14,nowcast,1.2,0.1,2.7,0.5,1.4,0.37
Andorra,2020-05-15,nowcast,1.4,0.1,2.8,0.7,1.7,0.29
Andorra,2020-05-16,nowcast,1.5,0.2,3,0.8,1.9,0.23
Andorra,2020-05-17,nowcast,1.7,0.4,3.2,1,2,0.16
Andorra,2020-05-18,nowcast,1.7,0.5,3.3,1.2,2.1,0.11
Andorra,2020-05-19,nowcast,1.9,0.7,3.3,1.2,2.2,0.08
Andorra,2020-05-20,nowcast,1.9,0.9,3.3,1.3,2.2,0.05
Andorra,2020-05-21,nowcast,2,0.9,3.2,1.5,2.3,0.03
Andorra,2020-05-22,nowcast,2,1,3.1,1.4,2.2,0.02
Andorra,2020-05-23,nowcast,2,1.1,3.1,1.6,2.3,0.01
Andorra,2020-05-24,nowcast,2,1.2,3,1.6,2.3,0.01
Andorra,2020-05-25,nowcast,2,1.2,2.9,1.7,2.3,0
Andorra,2020-05-26,nowcast,2,1.3,2.9,1.7,2.3,0
Argentina,2020-03-07,nowcast,1.7,1.2,2.4,1.5,1.9,0.01
Argentina,2020-03-08,nowcast,1.7,1.2,2.4,1.5,1.9,0.01
Argentina,2020-03-09,nowcast,1.7,1.2,2.3,1.5,1.9,0
Argentina,2020-03-10,nowcast,1.7,1.2,2.2,1.5,1.9,0
Argentina,2020-03-11,nowcast,1.7,1.2,2.2,1.4,1.8,0
Argentina,2020-03-12,nowcast,1.7,1.2,2.1,1.5,1.8,0
Argentina,2020-03-13,nowcast,1.7,1.3,2.1,1.5,1.8,0
Argentina,2020-03-14,nowcast,1.6,1.2,2,1.4,1.7,0
Argentina,2020-03-15,nowcast,1.6,1.2,2,1.4,1.7,0
Argentina,2020-03-16,nowcast,1.6,1.2,1.9,1.4,1.7,0
Argentina,2020-03-17,nowcast,1.5,1.2,1.8,1.4,1.6,0
Argentina,2020-03-18,nowcast,1.5,1.2,1.8,1.3,1.6,0
Argentina,2020-03-19,nowcast,1.4,1.1,1.7,1.3,1.5,0.01
Argentina,2020-03-20,nowcast,1.4,1.1,1.6,1.3,1.5,0.01
Argentina,2020-03-21,nowcast,1.3,1.1,1.6,1.2,1.4,0.01
Argentina,2020-03-22,nowcast,1.3,1,1.5,1.2,1.4,0.02
Argentina,2020-03-23,nowcast,1.2,1,1.4,1.1,1.3,0.04
Argentina,2020-03-24,nowcast,1.2,1,1.4,1.1,1.3,0.05
Argentina,2020-03-25,nowcast,1.2,1,1.3,1.1,1.2,0.09
Argentina,2020-03-26,nowcast,1.1,0.9,1.3,1.1,1.2,0.11
Argentina,2020-03-27,nowcast,1.1,1,1.3,1.1,1.2,0.12
Argentina,2020-03-28,nowcast,1.1,0.9,1.2,1,1.2,0.13
Argentina,2020-03-29,nowcast,1.1,0.9,1.2,1,1.2,0.13
Argentina,2020-03-30,nowcast,1.1,0.9,1.2,1,1.1,0.15
Argentina,2020-03-31,nowcast,1.1,0.9,1.2,1,1.1,0.17
Argentina,2020-04-01,nowcast,1.1,0.9,1.2,1,1.1,0.19
Argentina,2020-04-02,nowcast,1,0.9,1.2,1,1.1,0.25
Argentina,2020-04-03,nowcast,1,0.9,1.2,1,1.1,0.32
Argentina,2020-04-04,nowcast,1,0.9,1.2,1,1.1,0.37
Argentina,2020-04-05,nowcast,1,0.9,1.1,1,1.1,0.38
Argentina,2020-04-06,nowcast,1,0.9,1.2,1,1.1,0.38
Argentina,2020-04-07,nowcast,1,0.9,1.2,1,1.1,0.35
Argentina,2020-04-08,nowcast,1,0.9,1.2,1,1.1,0.29
Argentina,2020-04-09,nowcast,1,0.9,1.2,1,1.1,0.26
Argentina,2020-04-10,nowcast,1.1,0.9,1.2,1,1.1,0.22
Argentina,2020-04-11,nowcast,1.1,0.9,1.2,1,1.1,0.19
Argentina,2020-04-12,nowcast,1.1,0.9,1.2,1,1.1,0.15
Argentina,2020-04-13,nowcast,1.1,1,1.2,1,1.1,0.12
Argentina,2020-04-14,nowcast,1.1,1,1.2,1,1.1,0.09
Argentina,2020-04-15,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-16,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-17,nowcast,1.1,1,1.2,1.1,1.1,0.08
Argentina,2020-04-18,nowcast,1.1,1,1.2,1.1,1.2,0.07
Argentina,2020-04-19,nowcast,1.1,1,1.2,1.1,1.2,0.08
Argentina,2020-04-20,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-21,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-22,nowcast,1.1,1,1.2,1.1,1.2,0.07
Argentina,2020-04-23,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-24,nowcast,1.1,1,1.2,1,1.1,0.08
Argentina,2020-04-25,nowcast,1.1,1,1.2,1.1,1.1,0.08
Argentina,2020-04-26,nowcast,1.1,1,1.2,1.1,1.1,0.07
Argentina,2020-04-27,nowcast,1.1,1,1.2,1.1,1.1,0.06
Argentina,2020-04-28,nowcast,1.1,1,1.2,1.1,1.2,0.04
Argentina,2020-04-29,nowcast,1.1,1,1.3,1.1,1.2,0.02
Argentina,2020-04-30,nowcast,1.2,1.1,1.3,1.1,1.2,0.01
Argentina,2020-05-01,nowcast,1.2,1.1,1.3,1.1,1.3,0
Argentina,2020-05-02,nowcast,1.2,1.1,1.4,1.2,1.3,0
Argentina,2020-05-03,nowcast,1.3,1.1,1.4,1.2,1.3,0
Argentina,2020-05-04,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-05,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-06,nowcast,1.3,1.2,1.4,1.3,1.3,0
Argentina,2020-05-07,nowcast,1.3,1.2,1.4,1.3,1.4,0
Argentina,2020-05-08,nowcast,1.3,1.2,1.4,1.3,1.3,0
Argentina,2020-05-09,nowcast,1.3,1.2,1.4,1.3,1.3,0
Argentina,2020-05-10,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-11,nowcast,1.3,1.2,1.4,1.3,1.3,0
Argentina,2020-05-12,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-13,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-14,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-15,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-16,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-17,nowcast,1.3,1.2,1.4,1.2,1.3,0
Argentina,2020-05-18,nowcast,1.2,1.1,1.3,1.2,1.3,0
Argentina,2020-05-19,nowcast,1.2,1.1,1.3,1.2,1.3,0
Argentina,2020-05-20,nowcast,1.2,1.1,1.3,1.1,1.2,0
Argentina,2020-05-21,nowcast,1.2,1.1,1.3,1.1,1.2,0
Argentina,2020-05-22,nowcast,1.1,1.1,1.2,1.1,1.2,0
Argentina,2020-05-23,nowcast,1.1,1,1.2,1.1,1.2,0.01
Argentina,2020-05-24,nowcast,1.1,1.1,1.2,1.1,1.1,0
Argentina,2020-05-25,nowcast,1.1,1.1,1.2,1.1,1.1,0
Argentina,2020-05-26,nowcast,1.1,1.1,1.2,1.1,1.1,0
Argentina,2020-05-27,nowcast,1.1,1.1,1.2,1.1,1.1,0
Argentina,2020-05-28,nowcast,1.1,1.1,1.2,1.1,1.2,0
Argentina,2020-05-29,forecast,1.1,1,1.2,1.1,1.2,0.01
Argentina,2020-05-30,forecast,1.1,1,1.2,1.1,1.2,0.02
Argentina,2020-05-31,forecast,1.1,1,1.3,1.1,1.2,0.04
Argentina,2020-06-01,forecast,1.1,1,1.3,1.1,1.2,0.06
Argentina,2020-06-02,forecast,1.1,1,1.3,1.1,1.2,0.08
Argentina,2020-06-03,forecast,1.1,1,1.3,1,1.2,0.1
Argentina,2020-06-04,forecast,1.1,0.9,1.3,1.1,1.2,0.12
Argentina,2020-06-05,forecast,1.1,0.9,1.3,1,1.2,0.13
Argentina,2020-06-06,forecast,1.1,0.9,1.3,1,1.2,0.14
Argentina,2020-06-07,forecast,1.1,0.9,1.3,1,1.2,0.15
Argentina,2020-06-08,forecast,1.1,0.9,1.3,1,1.2,0.19
Argentina,2020-06-09,forecast,1.1,0.9,1.3,1,1.2,0.2
Argentina,2020-06-10,forecast,1.1,0.9,1.3,1,1.2,0.22
